id	text
doc0	In accounting, minority interest (or non-controlling interest) is the portion of a subsidiary corporation's stock that is not owned by the parent corporation. The magnitude of the minority interest in the subsidiary company is generally less than 50% of outstanding shares, or the corporation would generally cease to be a subsidiary of the parent.[1]
doc1	It is, however, possible (such as through special voting rights) for a controlling interest requiring consolidation to be achieved without exceeding 50% ownership, depending on the accounting standards being employed. Minority interest belongs to other investors and is reported on the consolidated balance sheet of the owning company to reflect the claim on assets belonging to other, non-controlling shareholders. Also, minority interest is reported on the consolidated income statement as a share of profit belonging to minority shareholders.
doc2	The reporting of 'minority interest' is a consequence of the requirement by accounting standards to 'fully' consolidate partly owned subsidiaries. Full consolidation, as opposed to partial consolidation, results in financial statements that are constructed as if the parent corporation fully owns these partly owned subsidiaries; except for two line items that reflect partial ownership of subsidiaries: net income to common shareholders and common equity. The two minority interest line items are the net difference between what would have been the common equity and net income to common, if all subsidiaries were fully owned, and the actual ownership of the group. All the other line items in the financial statements assume a fictitious 100% ownership.
doc3	Some investors have expressed concern that the minority interest line items cause significant uncertainty for the assessment of value, leverage and liquidity.[2] A key concern of investors is that they cannot be sure what part of the reported cash position is owned by a 100% subsidiary and what part is owned by a 51% subsidiary.
doc4	Minority interest is an integral part of the enterprise value of a company. The converse concept is an associate company.
doc5	Under the International Financial Reporting Standards, the non-controlling interest is reported in accordance with IFRS 5 and is shown at the very bottom of the Equity section on the consolidated balance sheet and subsequently on the statement of changes in equity. Under US GAAP minority interest can be reported either in the liabilities section, the equity section, or the mezzanine section of the balance sheet. The Mezzanine section is located between liabilities and equity. FASB FAS 160 and FAS 141r significantly alter the way a parent company accounts for non-controlling interest (NCI) in a subsidiary. It is no longer acceptable to report minority interest in the mezzanine section of the balance sheet.
doc6	The fourth season of Chicago Fire, an American drama television series with executive producer Dick Wolf, and producers Derek Haas, Michael Brandt, and Matt Olmstead, was ordered on February 5, 2015, by NBC,[1] and premiered on October 13, 2015 and concluded on May 17, 2016.[2] The season contained 23 episodes.[3]
doc7	The show follows the lives of the firefighters and paramedics working at the Chicago Fire Department at the firehouse of Engine 51, Truck 81, Squad 3, Ambulance 61 and Battalion 25.
doc8	Tensions only get worse between Patterson and Severide when Severide makes a call at a job without his consent causing Patterson to question Severide's being at 51. Meanwhile, Borelli and Chili take their romance to the next level, Cruz receives a visit from one of his brother Leon's old gang members. Also, Mouch receives tickets from one of the members of the rock band Rush and Boden and his wife Donna welcome a new neighbor who turns out to be overly friendly.
doc9	Hermann is rushed to Chicago Med after being stabbed at Molly's. After losing a lot a blood, it is determined he needs emergency surgery. Feeling guilty about Hermann's present state, Cruz searches for Freddy to turn him in. Severide is reinstated as Lieutenant while Borelli grows more concerned about Chili's erratic behavior. Mouch considers finally proposing to Platt.
doc10	"Love Will Keep Us Alive" is a song written by Jim Capaldi, Paul Carrack, and Peter Vale, and produced by the Eagles, Elliot Scheiner, and Rob Jacobs. It was first performed by the Eagles in 1994, during their "Hell Freezes Over" reunion tour, with lead vocals by bassist Timothy B. Schmit.
doc11	Although the song was never formally released as a single in the US, and thus was not eligible to appear on the US Billboard Hot 100 under the rules then in place, it spent three weeks at number 1 on the Billboard adult contemporary chart in early 1995[1] and reached number 22 on Billboard's Hot 100 Airplay chart. In the United Kingdom, "Love Will Keep Us Alive" was issued as a single and peaked at number 52 on the UK Singles Chart.[2]
doc12	Aside from being on the album Hell Freezes Over, the song appears on the Eagles' box set, Selected Works 1972-1999 and the 2003 compilation album, The Very Best Of.
doc13	Paul Carrack recorded the song for his 1996 album, Blue Views; it also featured on his 2006 compilation album, Greatest Hits - The Story So Far.
doc14	In 2011, Paul Carrack and Timothy B. Schmit recorded the song in London with the Royal Philharmonic Orchestra, and released it in the UK on the Carrack label.
doc15	According to the liner notes that accompanied their 2003 greatest hits CD, this song was written when Carrack, Capaldi, and Schmit were planning to form a band with Don Felder and Max Carl during the late eighties or early nineties.[3] The band had the working name of Malibu Men's Choir.[4] This never materialized, so Schmit proposed the song for the Eagles' reunion album. According to Felder, they sent demo tapes to the Eagles manager, Irving Azoff, who rejected it as not good enough.[5] Felder thought it ironic that the Eagles would later record one of those rejected songs.[6]
doc16	"Love Will Keep Us Alive" was also recorded by Capaldi and Dave Mason on their 40,000 Headman tour and live album, and by Carrack (duet with Lindsay Dracass) on his 2007 album Old, New, Borrowed and Blue. It was also covered by Canadian-Australian singer Wendy Matthews in 1995 as "Love Will Keep Me Alive" as a track from the album The Witness Tree (1994).
doc17	Patrick Walter Brown MPP (born May 26, 1978) is a Canadian politician who is the leader of the Progressive Conservative Party of Ontario and Ontario's Leader of the Official Opposition. Brown was a federal Conservative member of the House of Commons of Canada from 2006-15 representing the riding of Barrie.
doc18	In May 2015, Brown was elected leader of the Ontario PC Party, and stepped down as MP. He was elected Member of Provincial Parliament (MPP) for Simcoe North in a provincial by-election on September 3, 2015. Before being elected to federal office, Brown worked as a lawyer in Barrie.[1]
doc19	Brown was born in Toronto of Irish and Italian descent, and raised in the Roman Catholic faith. His father, Edmond Brown, a lawyer and former New Democratic Party candidate, was raised in England and Ireland before moving to Canada, and his mother, Judy (n̩e Tascona) Brown, is of partial Italian descent.[2]
doc20	Brown is the nephew of Joe Tascona, a Barrie Progressive Conservative MPP in the Mike Harris government.[3] He graduated from St. Michael's College School, a private Catholic school in Toronto.[4] He studied political science at the University of Toronto, and graduated with a law degree from the University of Windsor. During his second year at law school, he was one of 10 recipients of the As Prime Minister Award. He worked for Magna International in their legal department for four years.[citation needed]
doc21	Brown served two terms as President of the Progressive Conservative Youth Federation (PCYF),[5] a position he held from 1998 to 2002. He also served on the executive of the Progressive Conservative Party of Ontario, as a Vice President. As PCYF President, Brown was one of the early supporters of a united right and was criticized for his decision to support a united right from party leader Joe Clark and Member of Parliament Scott Brison. Brown was later re-elected as PCYF president with 81 percent of the vote against Jonathan Frate of Manitoba.
doc22	Brown was the Deputy Chairman of the International Young Democrat Union (IYDU).[when?] He has also represented Canada on a number of international assistance projects hosted by the IYDU.
doc23	Brown identifies himself as a "pragmatic conservative"[6] and since becoming leader he has tried to move the Ontario PC Party in a socially liberal and fiscally conservative direction.[7] At his first Ontario PC Convention as the new leader, Brown confirmed his belief in man-made climate change and announced his support for a revenue-neutral price on carbon.[8] Brown was also the first Ontario PC Leader to march in the Toronto Pride Parade.[9] Among his political mentors, Brown lists former Ontario Premier Bill Davis and former Canadian Prime Minister Brian Mulroney.[10]
doc24	Much of Brown's time at Queen's Park has been spent criticizing and debating the government's energy policies. He has promised to dismantle the Green Energy Act, rein in executive salaries at Hydro One, and place a moratorium on the signing of new energy contracts.[11][12][13]
doc25	Patrick Brown's first Private Member's Bill in the Ontario Legislature, Bill 151 the Estate Administration Tax Abolition Act, was an attempt to eliminate Ontario's estate administration, or probate tax.[14] His bill was voted down at Second Reading by the Liberal Government's majority.
